R	400,300
x : 1.976190	 y : 0.000000	 z : -0.476190
x : 0.023256	 y : 0.000000	 z : -0.697674
x : 0.116279	 y : 0.000000	 z : -0.697674
x : 0.255814	 y : 0.000000	 z : -0.697674
x : 0.302326	 y : 0.000000	 z : -0.697674
x : 0.441860	 y : 0.000000	 z : -0.697674
x : 0.465116	 y : 0.000000	 z : -0.697674
x : 0.534884	 y : 0.000000	 z : -0.697674
x : 0.720930	 y : 0.000000	 z : -0.697674
x : 0.860465	 y : 0.000000	 z : -0.697674
x : 0.906977	 y : 0.000000	 z : -0.697674
x : 1.093023	 y : 0.000000	 z : -0.697674
x : 1.139535	 y : 0.000000	 z : -0.697674
x : 1.534884	 y : 0.000000	 z : -0.697674
x : 1.674419	 y : 0.000000	 z : -0.697674
x : 1.744186	 y : 0.000000	 z : -0.697674
x : 1.790698	 y : 0.000000	 z : -0.697674
x : 1.976744	 y : 0.000000	 z : -0.697674
x : 0.022727	 y : 0.000000	 z : -0.909091
x : 0.068182	 y : 0.000000	 z : -0.909091
x : 0.227273	 y : 0.000000	 z : -0.909091
x : 0.295455	 y : 0.000000	 z : -0.909091
x : 0.340909	 y : 0.000000	 z : -0.909091
x : 0.363636	 y : 0.000000	 z : -0.909091
x : 0.386364	 y : 0.000000	 z : -0.909091
x : 0.545455	 y : 0.000000	 z : -0.909091
x : 0.613636	 y : 0.000000	 z : -0.909091
x : 0.681818	 y : 0.000000	 z : -0.909091
x : 0.795455	 y : 0.000000	 z : -0.909091
x : 0.818182	 y : 0.000000	 z : -0.909091
x : 0.886364	 y : 0.000000	 z : -0.909091
x : 0.954545	 y : 0.000000	 z : -0.909091
x : 1.159091	 y : 0.000000	 z : -0.909091
x : 1.272727	 y : 0.000000	 z : -0.909091
x : 1.750000	 y : 0.000000	 z : -0.909091
x : 1.772727	 y : 0.000000	 z : -0.909091
x : 1.909091	 y : 0.000000	 z : -0.909091
x : 0.088889	 y : 0.000000	 z : -1.111111
x : 0.111111	 y : 0.000000	 z : -1.111111
x : 0.133333	 y : 0.000000	 z : -1.111111
x : 0.155556	 y : 0.000000	 z : -1.111111
x : 0.244444	 y : 0.000000	 z : -1.111111
x : 0.288889	 y : 0.000000	 z : -1.111111
x : 0.311111	 y : 0.000000	 z : -1.111111
x : 0.444444	 y : 0.000000	 z : -1.111111
x : 0.511111	 y : 0.000000	 z : -1.111111
